NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s011,14,51,262.866312,262.866312,25987380,39000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s082,14,53,265.46446,265.464461,15759440,43000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s083,14,51,386.946952,386.946952,20332441,48000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s033,14,51,292.879979,292.879979,9455341,34000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s032,14,51,377.492727,377.492728,37494064,58000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s044,14,51,330.985594,330.985594,25911563,50000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s045,14,52,318.814197,318.814197,37170540,53000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s039,14,51,293.979231,293.97923,14251758,46000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s038,14,51,416.505511,433.50716,19160829,47000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s070,14,53,283.798472,283.798472,96205045,43000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s071,14,53,294.057586,294.057587,53825171,38000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s095,14,52,331.322727,331.322728,11935669,50000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s094,14,51,294.784004,294.784004,9632733,52000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s007,14,52,220.598967,220.598968,21936777,34000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s006,14,53,263.613774,339.957741,30419922,41000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s063,14,52,326.145363,326.145363,33900724,45000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s062,14,52,353.613112,353.613113,17413385,42000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s086,14,52,331.994103,331.994104,32722527,53000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s087,14,51,277.87646,277.87646,39365331,43000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s014,14,51,292.095592,292.135592,151625174,38000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s015,14,52,266.662944,266.662945,19086504,37000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s020,14,52,334.995799,334.995799,22905601,49000,true,true,,,
