NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s029"	6	8	86.574980	86.574980	2063	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s028"	6	8	129.778801	129.778801	3129	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s085"	6	8	85.631034	85.631035	3331	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s084"	6	8	144.832562	144.832562	3052	47000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s017"	6	8	101.825559	101.825560	2392	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s016"	6	8	130.640039	130.640039	3571	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s024"	6	8	100.145874	100.145875	1367	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s025"	6	8	127.673237	127.673237	2949	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s088"	6	8	102.792596	102.792596	3074	47000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s089"	6	8	112.228296	112.228297	1921	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s053"	6	8	118.810193	118.810194	1752	42000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s052"	6	8	89.603469	89.603469	2580	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s067"	6	8	94.877229	94.877229	3532	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s066"	6	8	90.224673	90.224674	2351	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s059"	6	8	128.792762	128.792762	2223	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s058"	6	8	104.831303	104.831303	2414	42000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s010"	6	8	119.716854	119.716854	3957	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s011"	6	8	112.581291	112.581291	1022	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s082"	6	8	104.066189	104.066189	2631	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s083"	6	8	158.499616	158.499617	2685	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s033"	6	8	134.570018	134.570017	2802	44000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s032"	6	8	100.833109	100.833110	2432	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s044"	6	8	137.532394	137.532394	2609	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s045"	6	8	118.103805	118.103804	2770	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s039"	6	8	113.705718	113.705718	2025	46000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s038"	6	8	133.876819	133.876820	2943	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s070"	6	8	124.350840	124.350840	2573	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s071"	6	8	109.378500	109.378501	2580	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s095"	6	8	112.079275	112.079275	4116	44000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s094"	6	8	106.539539	106.539538	2257	47000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s007"	6	8	81.091745	81.091746	2203	44000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s006"	6	8	132.880014	132.880014	2562	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s063"	6	8	124.994421	124.994421	2024	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s062"	6	8	127.162489	127.162489	2817	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s086"	6	8	128.186740	128.186740	2479	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s087"	6	8	88.146161	88.146161	2754	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s014"	6	8	84.499048	84.499048	3287	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s015"	6	8	145.568382	145.568383	2146	48000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s020"	6	8	118.590096	118.590096	1798	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s021"	6	8	133.480268	133.480268	2993	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s069"	6	8	70.265206	70.265205	2513	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s068"	6	8	88.070689	88.070689	2007	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s057"	6	8	72.135212	72.135211	2435	41000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s056"	6	8	150.890205	150.890205	3112	44000	true	true
