NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s100,12,21,141.766156,158.952723,5357392,35000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s009,12,20,171.723009,189.35747,8025606,26000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s008,12,20,177.105928,177.105928,1783475,28000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s073,12,21,130.833867,130.833868,839171,26000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s072,12,21,180.560164,194.163898,6791698,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s096,12,20,149.801735,161.631126,354895,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s097,12,21,136.003618,136.003618,5435156,30000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s004,12,21,206.180517,215.041351,10932034,27000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s005,12,22,170.383487,173.124631,2924250,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s079,12,20,158.492676,158.492675,2008121,32000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s078,12,19,127.312979,127.312979,1686656,40000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s030,12,20,171.951633,263.844318,1440500,28000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s031,12,20,191.285155,200.939795,1554550,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s047,12,19,178.189896,178.189896,1605789,29000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s046,12,20,187.509735,205.164799,23054048,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s064,12,20,124.200952,198.997001,1612572,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s065,12,21,183.838555,183.919696,3502347,31000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s013,12,20,161.634003,161.634003,1825577,33000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s012,12,19,153.895882,153.895882,1936497,32000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s081,12,19,207.97848,222.304646,5404670,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s080,12,20,195.493731,245.846289,4660935,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s027,12,22,145.416734,147.05395,4021488,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s026,12,19,186.548983,191.242212,1976027,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s019,12,19,190.870574,206.696084,4046671,23000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s018,12,19,179.47454,220.71188,1371644,26000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s050,12,19,178.71053,189.52974,3396230,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s051,12,21,106.640927,106.640927,924760,32000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s034,12,26,220.920789,220.920788,1127855,29000,false,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s035,12,26,179.744695,179.744695,510408,26000,false,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s043,12,26,187.898352,187.898352,1831441,31000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s042,12,25,229.336146,229.336146,1867318,27000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s098,12,25,220.93439,220.93439,2320064,28000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s099,12,25,248.850111,248.85011,1387067,31000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s077,12,27,144.523605,144.523604,4249285,29000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s076,12,25,186.268979,186.268979,597848,24000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s001,12,26,205.403726,318.894669,493438,29000,false,false,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s092,12,25,222.149768,222.189768,5592370,28000,false,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s093,12,25,200.217281,247.035284,531362,22000,false,false,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s049,12,26,247.378305,247.418305,2483452,29000,false,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s048,12,27,188.203198,188.203199,1739405,29000,false,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s023,12,25,258.624999,258.624998,3205236,26000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s022,12,27,193.800484,193.800485,542943,27000,true,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s054,12,27,161.628196,296.035053,613246,26000,false,false,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s055,12,25,267.898106,302.064691,1271407,27000,false,false,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s060,12,27,209.450403,369.84665,822261,28000,false,false,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s061,12,25,259.671174,259.671175,2726632,27000,false,true,,,
xc7s25 t12 e022 r0.1 R0.5 d10.0 D50.0 s029,12,28,148.546899,160.560051,2411355,34000,false,false,,,
